Date,Fintech,FAANG,NASDAQ,SNP500,,,,,
5/18/21,1,1,1,1,,,,,
5/19/21,1.03649691,1.00053944,0.99970689,0.99705659,,,,,
5/20/21,1.07704352,1.0124144,1.0174464,1.00758026,,,,,
5/21/21,1.08502472,1.00002384,1.01257931,1.00679044,,,,,
5/24/21,1.12564593,1.01496905,1.02687462,1.01676903,,,,,
5/25/21,1.10505284,1.017483,1.02657395,1.01460811,,,,,
5/26/21,1.10158148,1.01984629,1.03264974,1.01651235,,,,,
5/27/21,1.10398769,1.01058157,1.03252047,1.0176969,,,,,
5/28/21,1.1050778,1.00802101,1.03345705,1.01847939,,,,,
6/1/21,1.11438847,1.00716733,1.03253552,1.01797796,,,,,
6/2/21,1.08429827,1.01066806,1.03402756,1.01945091,,,,,
6/3/21,1.05109881,0.99724236,1.0233673,1.01575162,,,,,
6/4/21,1.05598803,1.00809383,1.03839931,1.02472487,,,,,
6/7/21,1.08437434,1.00835081,1.04345278,1.02390843,,,,,
6/8/21,1.07854268,1.02141363,1.04669929,1.02408764,,,,,
6/9/21,1.06156141,1.024086,1.04571007,1.02221984,,,,,
6/10/21,1.13389028,1.0370171,1.05387176,1.02697546,,,,,
6/11/21,1.09352417,1.03796421,1.05756171,1.02897645,,,,,
6/14/21,1.15894501,1.05231143,1.06543322,1.03084425,,,,,
6/15/21,1.17693078,1.04946383,1.05782032,1.02877051,,,,,
6/16/21,1.22759685,1.05508217,1.05532622,1.02322531,,,,,
6/17/21,1.31524864,1.07328409,1.06447183,1.02277947,,,,,
6/18/21,1.33256758,1.0696321,1.05462688,1.00935603,,,,,
