Date,Fintech,FAANG,NASDAQ,SNP500,,,,,
6/7/21,1,1,1,1,,,,,
6/8/21,0.9946221,1.01295464,1.00311132,1.00017502,,,,,
6/9/21,0.97896212,1.01560488,1.0021633,0.99835084,,,,,
6/10/21,1.04566314,1.02842888,1.0099851,1.00299541,,,,,
6/11/21,1.00843789,1.02936815,1.01352139,1.00494968,,,,,
6/14/21,1.06876838,1.04359655,1.02106511,1.00677387,,,,,
6/15/21,1.08535469,1.04077253,1.01376923,1.00474855,,,,,
6/16/21,1.13207847,1.04634435,1.01137899,0.99933283,,,,,
6/17/21,1.21291014,1.06439553,1.02014375,0.9988974,,,,,
6/18/21,1.22888151,1.06077378,1.01070878,0.9857874,,,,,
