,ADYEY,AFRM,ALKT,AVLR,BILL,BTRS,BL,BHG,CLOV,COIN,COMP,DLO,DOMA,DCT,ENV,EVER,FLT,FLYW,FCH.L,GDOT,HIPO,INTA,KPLT,LMND,LSPD,LDI,LU,MQ,MELI,MILE,ML,NCNO,OLO,OPEN,OSCR,PAGS,PAY,PAYO,PYPL,QTWO,RDFN,ROOT,SEZNL,SHOP,SOFI,SQ,STNE,UPST,VIRT,XROLF
2015-01-02,,,,,,,,,,,,,,,1804119937.8967285,,22917681152.0,,,854280006.4086914,,,,,,,,,5481630187.988281,,,,,,,,,,,680039978.0273438,,,,,,,,,,1870574976.0000002
2015-01-05,,,,,,,,,,,,,,,1776000000.0,,22917681152.0,,,840420009.6130372,,,,,,,,,5414117218.017578,,,,,,,,,,,678960021.9726562,,,,,,,,,,1870574976.0000002
2015-01-06,,,,,,,,,,,,,,,1739740016.9372559,,22917681152.0,,,837480022.4304198,,,,,,,,,5317421081.542969,,,,,,,,,,,659159980.7739258,,,,,,,,,,1870574976.0000002
2015-01-07,,,,,,,,,,,,,,,1799679977.4169922,,22917681152.0,,,835799983.9782715,,,,,,,,,5306966583.251953,,,,,,,,,,,673200027.4658203,,,,,,,,,,1894518313.2459004
2015-01-08,,,,,,,,,,,,,,,1855550056.4575195,,22917681152.0,,,851340019.2260742,,,,,,,,,5386240234.375,,,,,,,,,,,697320030.2124023,,,,,,,,,,1894518313.2459004
2015-01-09,,,,,,,,,,,,,,,1872570022.5830078,,22917681152.0,,,837060012.8173828,,,,,,,,,5326568389.892578,,,,,,,,,,,686519989.0136719,,,,,,,,,,1894518313.2459004
2015-01-12,,,,,,,,,,,,,,,1853699943.5424805,,22917681152.0,,,839159980.7739258,,,,,,,,,5239018554.6875,,,,,,,,,,,686519989.0136719,,,,,,,,,,1840645804.8167398
2015-01-13,,,,,,,,,,,,,,,1887369937.8967285,,22917681152.0,,,838319961.5478516,,,,,,,,,5225951354.980469,,,,,,,,,,,666720016.4794922,,,,,,,,,,1840645804.8167398
2015-01-14,,,,,,,,,,,,,,,1866279949.1882324,,22917681152.0,,,833700016.0217285,,,,,,,,,5162792999.267578,,,,,,,,,,,680039978.0273438,,,,,,,,,,1918461648.9953406
2015-01-15,,,,,,,,,,,,,,,1805970050.8117676,,22917681152.0,,,794219993.5913086,,,,,,,,,5091360473.6328125,,,,,,,,,,,653759994.5068359,,,,,,,,,,1870574976.0000002
