Date,PYPL,SQ,SHOP,LC,GPN,CATM,GDOT,BL,ADYEY,STNE,LMND,ROOT,AFRM,INTU,OPEN,NCNO,BILL,UPST,GWRE,COIN,SOFI,FUSE,MELI,PAGS,LU,FTCV,DLO,MQ,AVLR,GSKY,QD,OSCR,RDFN,FLYW,BTRS,ZG,XROLF,AFTPY,CLOV,MILE,ALKT,BHG,COMP,DCT,ENV,EVER,HIPO,INTA,KPLT,PAY,PAYO,QTWO,FCH.L,SZL.AX,XRO.AX,ML,FLT,VIRT,LSPD.TO,KUX.SI,LDI
2015-01-02,,,,1869750022.8881836,5396520767.211914,1588439987.1826172,854280006.4086914,,,,,,,24449767570.495605,,,,,3597840087.8906255,,,,5481630187.988281,,,,,,,,,,,,,4752404285.430908,1714125000.0,,,,,,,,1804119937.8967285,,,,,,,680039978.0273438,525832480.0,1205267968.0,21717121024.0,1366295168.0,22917681152.0,4881985024.0,12508817408.0,94359248.0,2023007104
2015-01-05,,,,1800000000.0,5304851016.998291,1546020057.6782227,840420009.6130372,,,,,,,24353264350.891113,,,,,3514320098.8769536,,,,5414117218.017578,,,,,,,,,,,,,4472797044.754028,1714125000.0,,,,,,,,1776000000.0,,,,,,,678960021.9726562,525832480.0,1205267968.0,21717121024.0,1366295168.0,22917681152.0,4881985024.0,12508817408.0,94359248.0,2023007104
2015-01-06,,,,1716749954.223633,5243961353.302002,1527960044.8608396,837480022.4304198,,,,,,,23605382881.16455,,,,,3476159912.1093755,,,,5317421081.542969,,,,,,,,,,,,,4443461139.678955,1714125000.0,,,,,,,,1739740016.9372559,,,,,,,659159980.7739258,525832480.0,1205267968.0,21717121024.0,1366295168.0,22917681152.0,4881985024.0,12508817408.0,94359248.0,2023007104
2015-01-07,,,,1716000022.8881836,5305519466.4001465,1555680038.4521484,835799983.9782715,,,,,,,23836569213.867188,,,,,3494159912.1093755,,,,5306966583.251953,,,,,,,,,,,,,4662563163.757324,1736065779.0756226,,,,,,,,1799679977.4169922,,,,,,,673200027.4658203,525832480.0,1205267968.0,21717121024.0,1366295168.0,22917681152.0,4881985024.0,12508817408.0,94359248.0,2023007104
2015-01-08,,,,1737000045.776367,5672872581.481934,1551060012.8173828,851340019.2260742,,,,,,,24156472320.55664,,,,,3574800109.863281,,,,5386240234.375,,,,,,,,,,,,,4764321567.5354,1736065779.0756226,,,,,,,,1855550056.4575195,,,,,,,697320030.2124023,525832480.0,1205267968.0,21717121024.0,1366295168.0,22917681152.0,4881985024.0,12508817408.0,94359248.0,2023007104
2015-01-09,,,,1725750045.776367,5719711418.151855,1549379974.3652344,837060012.8173828,,,,,,,23648396415.71045,,,,,3534480010.986328,,,,5326568389.892578,,,,,,,,,,,,,4708400287.628174,1736065779.0756226,,,,,,,,1872570022.5830078,,,,,,,686519989.0136719,525832480.0,1205267968.0,21717121024.0,1366295168.0,22917681152.0,4881985024.0,12508817408.0,94359248.0,2023007104
2015-01-12,,,,1575750045.776367,5667518806.45752,1547699935.913086,839159980.7739258,,,,,,,23312365951.538086,,,,,3441599945.0683594,,,,5239018554.6875,,,,,,,,,,,,,4767530239.105225,1686699026.1554718,,,,,,,,1853699943.5424805,,,,,,,686519989.0136719,525832480.0,1205267968.0,21717121024.0,1366295168.0,22917681152.0,4881985024.0,12508817408.0,94359248.0,2023007104
2015-01-13,,,,1584750022.8881836,5686254959.106445,1572060012.8173828,838319961.5478516,,,,,,,23202144584.65576,,,,,3437280120.8496094,,,,5225951354.980469,,,,,,,,,,,,,4777614395.141602,1686699026.1554718,,,,,,,,1887369937.8967285,,,,,,,666720016.4794922,525832480.0,1205267968.0,21717121024.0,1366295168.0,22917681152.0,4881985024.0,12508817408.0,94359248.0,2023007104
2015-01-14,,,,1579500045.776367,5667518806.45752,1533000000.0,833700016.0217285,,,,,,,23180639991.760254,,,,,3425760131.8359375,,,,5162792999.267578,,,,,,,,,,,,,4776239410.400391,1758006558.151245,,,,,,,,1866279949.1882324,,,,,,,680039978.0273438,525832480.0,1205267968.0,21717121024.0,1366295168.0,22917681152.0,4881985024.0,12508817408.0,94359248.0,2023007104
2015-01-15,,,,1656749954.223633,5666179847.717286,1449419929.5043943,794219993.5913086,,,,,,,22871491355.895996,,,,,3283199890.1367188,,,,5091360473.6328125,,,,,,,,,,,,,4377913845.062256,1714125000.0,,,,,,,,1805970050.8117676,,,,,,,653759994.5068359,525832480.0,1205267968.0,21717121024.0,1366295168.0,22917681152.0,4881985024.0,12508817408.0,94359248.0,2023007104
