,ticker,vertical,type
0,FCH.L,Banking/Lending,IPO
1,ADYEY,Payments,IPO
2,AFRM,Banking/Lending,IPO
3,ALKT,B2B SaaS,IPO
4,AVLR,B2B SaaS,IPO
5,BILL,B2B SaaS,IPO
6,BL,B2B SaaS,IPO
7,BHG,Insurance,IPO
8,BTRS,Payments,SPAC
9,CLOV,Insurance,SPAC
10,COIN,Wealth/Asset Mgmt,DL
11,COMP,Real Estate,IPO
12,DLO,Payments,IPO
13,DCT,B2B SaaS,IPO
14,ENV,B2B SaaS,IPO
15,EVER,Insurance,IPO
16,FLYW,Payments,IPO
17,GDOT,Banking/Lending,IPO
18,HIPO,Insurance,SPAC
19,INTA,B2B SaaS,IPO
20,KPLT,Banking/Lending,SPAC
21,LMND,Insurance,IPO
22,LU,Payments,DL
23,MQ,Payments,IPO
24,MELI,Payments,IPO
25,MILE,Insurance,SPAC
26,NCNO,Banking/Lending,IPO
27,OPEN,Real Estate,DL
28,OSCR,Insurance,IPO
29,PAGS,Payments,IPO
30,PAY,Payments,IPO
31,PAYO,Payments,SPAC
32,PYPL,Payments,IPO
33,QTWO,B2B SaaS,IPO
34,RDFN,Real Estate,IPO
35,ROOT,Insurance,IPO
36,SZL.AX,Banking/Lending,IPO
37,SHOP,Payments,IPO
38,SOFI,Banking/Lending,SPAC
39,SQ,Payments,DL
40,STNE,Payments,IPO
41,UPST,Banking/Lending,IPO
42,XRO.AX,B2B SaaS,IPO
43,ML,Banking/Lending,SPAC
